Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
FMP48	YGR052W	TCO89	YPL180W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FMP48	YGR052W	TOR1	YJR066W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FMP48	YGR052W	LAM6	YLR072W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FMP48	YGR052W	TOR1	YJR066W	Affinity Capture-Western	manually curated	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FOL2	YGR267C	RIO2	YNL207W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FPK1	YNR047W	SOG2	YOR353C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FPR3	YML074C	HRK1	YOR267C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FPR3	YML074C	RGC1	YPR115W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FPR4	YLR449W	HRK1	YOR267C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FPS1	YLL043W	YPK2	YMR104C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FRQ1	YDR373W	PIK1	YNL267W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUN12	YAL035W	RCK1	YGL158W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUR1	YHR128W	URK1	YNR012W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	ADR1	YDR216W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	ALR1	YOL130W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	ASK10	YGR097W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	BCK2	YER167W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	BOI1	YBL085W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	BOI2	YER114C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	CDC14	YFR028C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	DIG1	YPL049C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	DIG2	YDR480W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	FKS1	YLR342W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	NAB6	YML117W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	NET1	YJL076W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	STE12	YHR084W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	TEC1	YBR083W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	YMR295C	YMR295C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	RGC1	YPR115W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	RCK1	YGL158W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	STE7	YDL159W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FUS3	YBL016W	BCK2	YER167W	Affinity Capture-Western	manually curated	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
FYV8	YGR196C	MKK1	YOR231W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GAC1	YOR178C	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GAL7	YBR018C	ATG1	YGL180W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GAL7	YBR018C	PPH21	YDL134C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GAL7	YBR018C	YCK3	YER123W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GAL83	YER027C	NPR1	YNL183C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GAL83	YER027C	SNF1	YDR477W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GBP2	YCL011C	CLA4	YNL298W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GBP2	YCL011C	CTK1	YKL139W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GBP2	YCL011C	KNS1	YLL019C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GBP2	YCL011C	SGV1	YPR161C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GBP2	YCL011C	SKY1	YMR216C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCD11	YER025W	FMP48	YGR052W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCD11	YER025W	GLC7	YER133W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCD11	YER025W	RCK1	YGL158W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCD6	YDR211W	FMP48	YGR052W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCD6	YDR211W	GRR1	YJR090C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCD6	YDR211W	MKK2	YPL140C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCD6	YDR211W	SGV1	YPR161C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCD6	YDR211W	YGK3	YOL128C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN1	YGL195W	MKK2	YPL140C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN1	YGL195W	RTS1	YOR014W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN1	YGL195W	SGV1	YPR161C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN2	YDR283C	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN2	YDR283C	RGC1	YPR115W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN2	YDR283C	KIN2	YLR096W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN2	YDR283C	NPR1	YNL183C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN2	YDR283C	SSN8	YNL025C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN2	YDR283C	YMR1	YJR110W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GCN2	YDR283C	NPR1	YNL183C	Affinity Capture-Western	manually curated	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GFA1	YKL104C	ISR1	YPR106W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GFA1	YKL104C	PRR1	YKL116C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIN4	YDR507C	BCK1	YJL095W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIN4	YDR507C	BNI5	YNL166C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIN4	YDR507C	CDC11	YJR076C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIN4	YDR507C	CDC3	YLR314C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIN4	YDR507C	MKK1	YOR231W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIN4	YDR507C	RAD53	YPL153C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIN4	YDR507C	RIM11	YMR139W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIN4	YDR507C	MKK1	YOR231W	Affinity Capture-Western	manually curated	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIP2	YER054C	FMP48	YGR052W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIP2	YER054C	GLC7	YER133W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIP2	YER054C	PCL10	YGL134W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIP2	YER054C	TPK1	YJL164C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIP2	YER054C	TPK2	YPL203W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIP2	YER054C	TPK3	YKL166C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIP4	YAL031C	GLC7	YER133W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIS4	YML006C	HRK1	YOR267C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIS4	YML006C	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIS4	YML006C	NPR1	YNL183C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GIS4	YML006C	SSN8	YNL025C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	BCK2	YER167W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	FMP48	YGR052W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	GIP3	YPL137C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	AFR1	YDR085C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	ASK10	YGR097W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	BMH1	YER177W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	BNI4	YNL233W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	BUD21	YOR078W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	CDC123	YLR215C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	CIC1	YHR052W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	ERB1	YMR049C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	FPR3	YML074C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	FPR4	YLR449W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	GAC1	YOR178C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	GLC8	YMR311C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	GSY1	YFR015C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	GSY2	YLR258W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	HAS1	YMR290C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	HER1	YOR227W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	IMP2'	YIL154C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	JIP4	YDR475C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	KEL1	YHR158C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	KEL2	YGR238C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	LOC1	YFR001W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	MAM33	YIL070C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	MHP1	YJL042W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	NIP7	YPL211W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	NOC3	YLR002C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	NOG1	YPL093W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	NOP2	YNL061W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	NOP7	YGR103W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	NSA1	YGL111W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	PIG2	YIL045W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	PTI1	YGR156W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	REF2	YDR195W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	REG1	YDR028C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	RLP7	YNL002C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	RPF2	YKR081C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	RRP1	YDR087C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	RRS1	YOR294W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	SCD5	YOR329C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	SDS22	YKL193C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	SEN1	YLR430W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	SUI2	YJR007W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	SUI3	YPL237W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	TIF6	YPR016C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	UGP1	YKL035W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	YPI1	YFR003C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	KIN1	YDR122W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	KIN2	YLR096W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	SWE1	YJL187C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLC7	YER133W	VHS1	YDR247W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLE2	YER107C	CLB2	YPR119W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLE2	YER107C	CLB3	YDL155W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLG1	YKR058W	PCL10	YGL134W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLN3	YER040W	CLB3	YDL155W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GLN3	YER040W	RIM11	YMR139W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GON7	YJL184W	CGI121	YML036W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GPP2	YER062C	GUT1	YHL032C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GRX1	YCL035C	PTK1	YKL198C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GRX4	YER174C	CGI121	YML036W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSC2	YGR032W	CLA4	YNL298W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSY1	YFR015C	BCK1	YJL095W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSY1	YFR015C	FMP48	YGR052W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSY1	YFR015C	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSY1	YFR015C	PCL10	YGL134W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSY1	YFR015C	PCL8	YPL219W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSY1	YFR015C	PHO85	YPL031C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSY2	YLR258W	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSY2	YLR258W	PCL8	YPL219W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GSY2	YLR258W	PHO85	YPL031C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
GUT1	YHL032C	GPP1	YIL053W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HAS1	YMR290C	HRK1	YOR267C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HHT1	YBR010W	STE7	YDL159W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HIS4	YCL030C	FMP48	YGR052W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HIS4	YCL030C	FMP48	YGR052W	Affinity Capture-Western	manually curated	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOG1	YLR113W	BFR1	YOR198C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOG1	YLR113W	CKA2	YOR061W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOG1	YLR113W	CKB2	YOR039W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOG1	YLR113W	DSK2	YMR276W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOG1	YLR113W	HOT1	YMR172W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOG1	YLR113W	HRP1	YOL123W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOG1	YLR113W	RCK2	YLR248W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOG1	YLR113W	RGC1	YPR115W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOM3	YER052C	CDC55	YGL190C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
HOT1	YMR172W	CKA2	YOR061W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
